Nazwisko,Kraj,Złote Medale,Srebrne Medale,Brązowe Medale
Michael Phelps,United States,14,0,2
Larisa Latynina,Soviet Union,9,5,4
Paavo Nurmi,Finland,9,3,0
Birgit Fischer,Germany,9,3,0
Mark Spitz,United States,9,1,1
Carl Lewis,United States,9,1,0
Björn Daehlie,Norway,8,4,0
Jenny Thompson,United States,8,3,1
Sawao Kato,Japan,8,3,1
Matt Biondi,United States,8,2,1
Ray Clarence Ewry,United States,8,0,0
Nikolay Andrianov,Soviet Union,7,5,3
Boris Shakhlin,Soviet Union,7,4,2
Vera Cáslavská,Czechoslovakia,7,4,0
Viktor Chukarin,Soviet Union,7,3,1
Aladár Gerevich,Hungary,7,1,2
Edoardo Mangiarotti,Italy,6,5,2
Hubert van Innis,Belgium,6,3,0
Lyubov Egorova,Russia,6,3,0
Akinori Nakayama,Japan,6,2,2
Gert Frederiksson,Sweden,6,1,1
Vitaly Scherbo,Belarus,6,0,4
Reiner Klimke,West Germany,6,0,2
Pál Kovács,Hungary,6,0,1
Nedo Nadi,Italy,6,0,0
Lidiya Skoblikova,Soviet Union,6,0,0
Kristin Otto,East Germany,6,0,0
Rudolf Kárpáti,Hungary,6,0,0
Amy Van Dyken,United States,6,0,0
Takashi Ono,Japan,5,4,4
Carl Townsend Osburn,United States,5,4,3
Agnes Keleti,Hungary,5,3,2
Gary Hall jr.,United States,5,3,2
Ian Thorpe,Australia,5,3,1
Nadia Comaneci,Romania,5,3,1
Ole Einar Björndalen,Norway,5,3,1
Ville Ritola,Finland,5,3,0
Isabelle Werth,Germany,5,3,0
Polina Astakhova,Soviet Union,5,2,3
Claudia Pechstein,Germany,5,2,2
Aaron Peirsol,United States,5,2,0
Yukio Endo,Japan,5,2,0
Mitsuo Tsukahara,Japan,5,1,3
Krisztina Egerszegi,Hungary,5,1,1
Thomas Jager,United States,5,1,1
Clas Thunberg,Finland,5,1,1
Hans Günter Winkler,Germany,5,1,1
Donald Schollander,United States,5,1,0
Anton Heida,United States,5,1,0
Thomas Alsgaard,Norway,5,1,0
Nelli Kim,Soviet Union,5,1,0
Ole Andreas Lilloe-Olsen,Norway,5,1,0
Bonnie Blair,United States,5,0,1
Alfred Lane,United States,5,0,1
